,instability_time,frac_energy_error,wall_time
1458,461295.47729433735,1.6623691096321307e-05,13.766542196273804
1459,678.4437259073453,2.9244247348435076e-07,0.019123077392578125
1460,1000000.0,3.647246356899849e-07,28.653130769729614
1461,1000000.0,1.1145913832434567e-08,28.768263578414917
1462,1000000.0,3.84407391150749e-08,27.33882164955139
1463,1000000.0,1.7937204122278566e-08,26.496606826782227
1464,1000000.0,7.854045242754104e-08,27.787201404571533
1465,40747.177304255536,1.548512098406403e-05,1.2080390453338623
1466,1000000.0,5.046561361757424e-09,27.500447273254395
1467,47.977422663810486,8.716761138715541e-07,0.0015192031860351562
1468,1000000.0,8.067804867757752e-07,29.674503326416016
1469,357961.01042395405,2.6118594287893434e-06,10.149534702301025
1470,1000000.0,5.572297077321694e-07,24.52823781967163
1471,9497.006513857817,1.9978840843581032e-07,0.2793087959289551
1472,1000000.0,3.1496359259559606e-08,25.37695813179016
1473,1000000.0,5.088175910308884e-07,28.534286975860596
1474,1000000.0,2.3645316710179322e-08,28.886568069458008
1475,429540.1534017161,1.1509212312553156e-05,11.324284076690674
1476,13600.29149566683,1.6922440894768782e-05,0.2923407554626465
1477,1000000.0,1.2433160233959059e-07,29.30357265472412
1478,10146.844901654504,0.00011182858542913609,0.29570960998535156
1479,1000000.0,3.9461517761058085e-08,27.843679666519165
1480,1000000.0,9.003272322981793e-06,29.50495982170105
1481,1000000.0,3.3533741116696565e-09,28.596509218215942
1482,1000000.0,5.3231342326293755e-06,28.965025663375854
1483,1000000.0,1.8915288527653454e-05,29.245818376541138
1484,168181.76450009257,2.8200650812650666e-05,4.833046197891235
1485,1000000.0,3.3422736858356725e-09,28.615941286087036
1486,93397.45235143122,0.00010185708584015139,2.815816640853882
1487,1961.7714640631414,5.317470743696937e-06,0.05751919746398926
1488,19097.585821619763,9.382402748548046e-06,0.5622248649597168
1489,291998.2071061535,1.216315027071558e-06,9.407942056655884
1490,12257.874245507082,6.766790063491753e-05,0.40897274017333984
1491,65817.48198631943,1.8038628976135445e-07,2.0024988651275635
1492,739571.2885102582,1.2518629773606436e-06,20.64847993850708
1493,1000000.0,1.7547055176578102e-08,32.714593172073364
1494,490733.99165191164,3.5689364540227475e-05,14.592676401138306
1495,29042.394157713334,1.2447848069100546e-05,0.8549575805664062
1496,497692.1946932504,2.1894853392406576e-07,15.997013568878174
1497,1000000.0,1.7133410951365298e-08,30.049968004226685
1498,1000000.0,2.477408880283612e-06,28.796817541122437
1499,1000000.0,2.2715377657857522e-08,28.634564638137817
1500,1000000.0,5.570606088758471e-07,32.083972692489624
1501,927699.984650303,1.1172576662703355e-05,29.838276147842407
1502,1000000.0,6.056007857558517e-06,29.628135204315186
1503,135437.02622697718,6.0266648601682625e-05,3.9563748836517334
1504,231907.2678072965,4.607524901401714e-07,7.088021993637085
1505,131105.6656268797,1.955677323668333e-05,3.752229690551758
1506,1000000.0,8.056600318160537e-06,29.312535285949707
1507,149846.54702506645,4.23771769383936e-06,4.430096864700317
1508,826447.1778917739,3.184788410966819e-05,25.911550283432007
1509,1000000.0,2.5392561794143125e-08,32.31415295600891
1510,22044.48616041972,8.244892865128198e-06,0.7158384323120117
1511,32061.553792238417,5.9431916239138815e-06,0.9440646171569824
1512,77146.22096957154,2.2192382675047968e-05,2.2644996643066406
1513,1000000.0,8.516237174786364e-08,29.54649543762207
1514,1000000.0,1.259415027808515e-06,29.59201979637146
1515,1000000.0,1.2703979967574202e-07,29.313546657562256
1516,1000000.0,8.633362569973264e-07,29.34070110321045
1517,1000000.0,1.1960746695900942e-08,28.1713547706604
1518,1000000.0,5.991251190171482e-08,28.802601099014282
1519,18300.32409442231,4.805500922487336e-05,0.5430951118469238
1520,1000000.0,1.5615376235597525e-07,32.20300817489624
1521,1000000.0,5.925853848645369e-08,29.930778980255127
1522,1000000.0,1.9281539776869233e-07,29.46947979927063
1523,73.43894194755907,2.7497194199521626e-07,0.002218008041381836
1524,3584.3922851146617,3.9655708714400806e-07,0.1026456356048584
1525,1000000.0,2.1415407427430509e-07,29.73444390296936
1526,1000000.0,2.0563488127190253e-08,27.969348907470703
1527,1000000.0,1.906220123954475e-06,29.598778009414673
1528,50017.355324624936,7.02729871919757e-05,1.486785650253296
1529,1000000.0,9.555440933452881e-09,29.348811864852905
1530,295541.628995888,2.8636904658675733e-06,8.52904462814331
1531,73019.36166732399,2.9441693121127484e-07,2.1487717628479004
1532,19482.24610434357,2.4776890783747524e-06,0.5587453842163086
1533,21.823513494949303,8.359210181518781e-08,0.0006892681121826172
1534,1000000.0,2.5385787128213954e-06,29.159111976623535
1535,1000000.0,1.1896846248403216e-08,27.97343921661377
1536,1000000.0,5.7098600766569025e-08,29.627092123031616
1537,341595.2211809954,2.699403805995691e-05,10.11280107498169
1538,4670.906426054252,0.00010301500091719659,0.13806533813476562
1539,1000000.0,8.973452809385356e-09,25.7932288646698
1540,5100.716100453676,3.2845044737615223e-07,0.14699387550354004
1541,1000000.0,1.1502095399621239e-08,23.64658260345459
1542,1000000.0,1.592391372436636e-07,29.10588026046753
1543,1000000.0,6.195163965578008e-09,27.805941104888916
1544,2704.163810030084,2.1733881018073156e-07,0.07822346687316895
1545,1000000.0,6.082318956880538e-07,29.735732793807983
1546,306898.3197949032,5.877632137159467e-07,8.829245567321777
1547,2724.806813133619,3.491677671755153e-05,0.08056211471557617
1548,22046.318740480085,2.543817338401052e-06,0.6547811031341553
1549,1067.1147211780858,1.971545284988893e-06,0.03141045570373535
1550,48641.02159705523,6.43565575850679e-06,1.438675880432129
1551,9844.530711330151,5.000490722361723e-07,0.2780582904815674
1552,177199.94043521862,6.752127219053733e-06,4.404421329498291
1553,1000000.0,1.757675159467054e-07,27.394348621368408
1554,1000000.0,5.798966188822729e-09,27.758634090423584
1555,659.5645847660583,5.830626425178322e-07,0.018796682357788086
1556,1000000.0,2.4124271478236147e-08,28.893359661102295
1557,22252.607530607056,2.7427445110328016e-06,0.6610205173492432
1558,1000000.0,1.2984569170914665e-07,28.260005474090576
1559,1535.7050335881686,1.647588189452169e-05,0.0457303524017334
1560,243.51845808930278,3.321745921322169e-07,0.0071909427642822266
1561,847007.2783638552,1.0614633938032057e-05,25.164027452468872
1562,1000000.0,1.936189443047235e-09,28.77372694015503
1563,1014.7819082110966,8.692044018343301e-06,0.03032398223876953
