,runstring,m1,m2,m3
73,0000073.bin,1.4145969853898238e-06,9.942522720410394e-07,1.7771366208366078e-06
74,0000074.bin,5.014554177742353e-07,2.9243147824366665e-07,2.1867588679967845e-06
75,0000075.bin,5.5611070696974504e-06,1.852408786626157e-06,2.425100970003196e-05
76,0000076.bin,1.6703516230521566e-07,1.6699243302983136e-06,3.908635036132156e-06
77,0000077.bin,9.53851080683902e-07,1.1983085669036276e-06,6.7024460798252925e-06
78,0000078.bin,4.712032788488236e-07,2.529112007943529e-07,2.4765605148485884e-06
79,0000079.bin,1.126016203600804e-06,5.679111244445295e-07,2.581457387424882e-06
80,0000080.bin,5.448341985416864e-07,1.0802608179808823e-06,3.908635036132156e-06
81,0000081.bin,1.60206737455751e-06,3.829377874955686e-07,1.1257281573240783e-05
82,0000082.bin,6.566537547990588e-07,7.134580852755099e-07,1.8907483463552155e-05
83,0000083.bin,1.0150901184878236e-06,6.299707943997255e-07,5.446948244693137e-06
84,0000084.bin,1.0150901184878236e-06,2.581457387424882e-06,1.4145969853898238e-06
85,0000085.bin,4.911615031684707e-07,1.8143823994598823e-06,3.990553417410784e-06
86,0000086.bin,1.126016203600804e-06,2.6914857673289025e-07,3.176472066414706e-06
87,0000087.bin,8.963065126449606e-07,1.1737095983385883e-06,3.176472066414706e-06
88,0000088.bin,8.422335319184902e-07,1.249063967504294e-06,1.1029012581197255e-06
89,0000089.bin,1.6699243302983136e-06,6.566537547990588e-07,8.598853226212549e-07
90,0000090.bin,3.047396921812941e-06,6.299707943997255e-07,2.9848397281503923e-06
91,0000091.bin,1.1496155992553725e-06,2.4257214939716864e-06,2.3759261003461174e-06
92,0000092.bin,8.422335319184902e-07,3.1772848478519603e-07,3.176472066414706e-06
93,0000093.bin,4.3368686782709806e-07,8.598853226212549e-07,8.247330695048823e-06
94,0000094.bin,1.301969157203e-06,5.336498010569216e-07,7.282246255065293e-06
95,0000095.bin,5.798135813357844e-07,3.990553417410784e-06,6.842918016528431e-06
96,0000096.bin,2.6362347446729413e-07,4.246754470726274e-06,3.908635036132156e-06
97,0000097.bin,1.1031834635502354e-07,3.2438753658235296e-07,2.2325896362938236e-06
98,0000098.bin,8.249440985079412e-07,1.7049231205981766e-06,2.4765605148485884e-06
