,runstring,seed,pairindex,j,k,Zstar,libfac,Zcom
8395,0008395.bin,8395,0,4,1,0.05953500000000001,0.003431026,0.04212306
8396,0008396.bin,8396,1,8,1,0.01699424,-1.211671,0.04565127
8397,0008397.bin,8397,0,5,1,0.009712659,-0.01946158,0.009933284
8398,0008398.bin,708398,0,31,2,0.001392255,0.004575839,0.006788484
8399,0008399.bin,8399,1,5,1,0.06714779,-0.4485496,0.07436402
8400,0008400.bin,8400,0,3,1,0.1143065,0.007472276,0.13987149999999998
8401,0008401.bin,708401,1,7,1,0.02009494,0.869635,0.07208447
8402,0008402.bin,708402,1,8,1,0.02661852,-0.2275616,0.06453608
8403,0008403.bin,8403,1,8,1,0.01571036,0.3408585,0.07119083
8404,0008404.bin,8404,0,9,1,0.007963606,-0.90028,0.0172405
8405,0008405.bin,8405,0,5,1,0.02141289,-0.01021038,0.04530463
8406,0008406.bin,2108406,1,17,2,0.01087272,0.1515838,0.035669
8407,0008407.bin,8407,1,12,1,0.01465932,-0.06100426,0.02481146
8408,0008408.bin,8408,0,5,2,0.01642147,0.01411854,0.1602162
8409,0008409.bin,708409,2,5,2,0.005066124,-0.17174579999999998,0.008636171
8410,0008410.bin,8410,1,5,1,0.09730309,0.07653781,0.01412559
8411,0008411.bin,8411,0,5,1,0.04911244,-0.01180267,0.04242159
8412,0008412.bin,1408412,0,13,2,0.01800715,0.007342687,0.01589101
8413,0008413.bin,708413,0,6,1,0.03356756,-0.01086666,0.05225754
8414,0008414.bin,8414,0,5,2,0.0128922,0.6979608,0.05270946
8415,0008415.bin,8415,0,5,2,0.17998270000000002,-1.633006,0.133114
8416,0008416.bin,8416,1,11,1,0.01116839,-0.007512196,0.05416503
8417,0008417.bin,8417,1,12,1,0.02392682,-0.1057525,0.04741376
8418,0008418.bin,708418,0,5,1,0.08421621,-0.4952009,0.04636163
8419,0008419.bin,1408419,0,13,2,0.04351819,-0.2111507,0.03670082
8420,0008420.bin,8420,1,8,1,0.03499875,-2.41737,0.03415418
8421,0008421.bin,8421,0,9,1,0.01803177,-2.509395,0.01544757
8422,0008422.bin,8422,0,5,1,0.07482244,-2.860366,0.08450338
8423,0008423.bin,708423,0,2,1,0.2387075,-0.003549067,0.02854898
8424,0008424.bin,8424,0,5,2,0.007955369,-2.36713,0.008641376
8425,0008425.bin,708425,1,3,1,0.01585842,-0.27141350000000003,0.01907834
8426,0008426.bin,8426,1,3,1,0.07904932,0.02525093,0.09122587
