,runstring,m1,m2,m3
119,0000119.bin,2.2246217993999998e-05,1.1324991678e-05,1.8606296708999998e-05
120,0000120.bin,2.1818954157e-05,1.4330823507e-05,6.25155531e-07
121,0000121.bin,2.4965269329e-05,1.0965043089e-05,2.338985649e-06
122,0000122.bin,2.7632296691999997e-05,1.0625028413999998e-05,1.3568755199999998e-07
123,0000123.bin,2.1701314634999997e-05,8.791114332e-06,1.1913201299999999e-07
124,0000124.bin,2.3947870947000002e-05,1.2384840468e-05,3.747149406e-06
125,0000125.bin,2.0272889636999995e-05,8.419628216999998e-06,1.0574584020000001e-06
126,0000126.bin,2.2398208833e-05,1.2929254338e-05,5.272096829999999e-07
127,0000127.bin,2.3173946796000003e-05,1.4972612654999998e-05,1.124040918e-06
128,0000128.bin,2.7375314967000003e-05,1.2118255149e-05,4.0586746199999997e-07
129,0000129.bin,2.1183726564e-05,1.3061512464e-05,1.166461296e-06
130,0000130.bin,2.5778367615e-05,1.4331853535999998e-05,1.223947725e-06
131,0000131.bin,2.2354338006e-05,1.2270936678e-05,1.882868988e-06
132,0000132.bin,2.255262009e-05,1.208581374e-05,1.361322963e-06
133,0000133.bin,2.6407646265e-05,1.3870094237999998e-05,2.0156045910000002e-05
134,0000134.bin,2.3746213491e-05,1.2481059590999998e-05,6.997287297e-06
135,0000135.bin,2.4659221586999996e-05,1.0199899709999999e-05,3.3267234e-08
136,0000136.bin,2.2189788621000002e-05,1.1794594811999999e-05,2.0188568399999998e-07
137,0000137.bin,2.6706342663e-05,1.057620564e-05,1.55423268e-07
138,0000138.bin,2.1212810618999998e-05,1.4949393458999999e-05,3.1991559599999993e-07
139,0000139.bin,2.3645219598e-05,1.0163974821e-05,1.4644159529999999e-06
140,0000140.bin,2.1709951263e-05,1.0112034932999999e-05,1.9684665e-08
141,0000141.bin,2.5158416282999996e-05,1.3685529858e-05,8.0972892e-06
142,0000142.bin,2.3937126213e-05,1.5054693654e-05,1.1431499079e-05
143,0000143.bin,2.1726527823e-05,1.327280955e-05,1.6811965170000003e-06
144,0000144.bin,2.1473392941e-05,1.4240301075000001e-05,4.1961819899999997e-07
145,0000145.bin,2.3543961441e-05,1.2228678462e-05,2.06480274e-06
146,0000146.bin,2.3899243368e-05,1.3392031653000003e-05,6.71197527e-07
147,0000147.bin,2.2371139790999997e-05,1.2125417303999998e-05,9.29770842e-07
148,0000148.bin,2.4446164742999996e-05,1.1231337116999999e-05,4.4810465700000005e-07
149,0000149.bin,2.2316425131000002e-05,1.2549681144000001e-05,8.289898617e-06
150,0000150.bin,2.8607352774e-05,1.3178566400999998e-05,3.14170857e-07
151,0000151.bin,2.1316300005e-05,1.1315850545999999e-05,5.263562304e-06
152,0000152.bin,2.6788228467e-05,1.3559560014e-05,1.9020881879999999e-06
153,0000153.bin,2.4950566641e-05,1.4907288396e-05,7.980232260000001e-07
154,0000154.bin,2.0320051752e-05,1.3468172717999998e-05,3.1766935199999994e-07
155,0000155.bin,2.7109444361999996e-05,1.2583191621e-05,1.3512689189999999e-06
156,0000156.bin,2.3445775352999998e-05,1.4933513595e-05,2.95002708e-06
157,0000157.bin,2.3783531772000002e-05,1.3541638109999998e-05,7.1882811e-08
158,0000158.bin,2.4694930259999997e-05,1.2162420269999999e-05,1.191395205e-06
159,0000159.bin,2.2520590091999998e-05,1.307434128e-05,8.594661075e-06
160,0000160.bin,2.3702712033e-05,1.1145736601999998e-05,1.72333161e-07
161,0000161.bin,2.5102920842999998e-05,1.1673564903000001e-05,9.9453354e-07
162,0000162.bin,2.3866285443e-05,1.495611117e-05,1.114740627e-06
163,0000163.bin,2.5340833518e-05,1.0493289807e-05,1.72966794e-06
164,0000164.bin,2.5041932916e-05,9.908737838999999e-06,6.2517354899999996e-06
165,0000165.bin,2.2907559674999995e-05,1.3966175222999999e-05,1.31498367e-07
166,0000166.bin,2.7083735678999993e-05,1.476421947e-05,1.2781933163999997e-05
167,0000167.bin,2.4892464597e-05,1.4400769383e-05,1.6397100719999998e-06
168,0000168.bin,2.5807139358e-05,1.4050946909999998e-05,8.6741655e-08
169,0000169.bin,3.2079295248e-05,1.2975749787000001e-05,3.39345006e-07
170,0000170.bin,2.0990414444999997e-05,1.2936596673000001e-05,1.138079943e-06
171,0000171.bin,2.3556601067999998e-05,1.3289082806999999e-05,7.19362644e-07
172,0000172.bin,2.253706455e-05,1.3467016563e-05,1.26017892e-06
173,0000173.bin,2.5542821304e-05,1.5818548745999998e-05,7.77770994e-07
174,0000174.bin,2.3207646461999996e-05,1.2502125636000001e-05,5.755838087999999e-06
175,0000175.bin,2.3388186822e-05,1.7192709534e-05,5.6240184e-07
176,0000176.bin,2.7322723427999997e-05,1.3657061417999999e-05,1.309163856e-06
177,0000177.bin,2.4222246048e-05,1.3385773400999998e-05,3.56471115e-07
178,0000178.bin,2.5490217753e-05,1.1060012964e-05,1.5522687180000002e-06
179,0000179.bin,2.1306393108e-05,1.6745727999e-05,6.30350721e-07
180,0000180.bin,2.1411918527999997e-05,1.3431199781999999e-05,5.515877367e-06
181,0000181.bin,2.2056977942999997e-05,1.0588091513999999e-05,2.0181072911999997e-05
182,0000182.bin,2.6577507957000003e-05,1.3929673758e-05,8.106508409999999e-07
183,0000183.bin,3.1328329032e-05,1.2522621111000002e-05,3.051861813e-06
184,0000184.bin,2.5968331388999998e-05,1.3029767750999997e-05,2.6704387709999996e-06
185,0000185.bin,2.2417515119999996e-05,8.242150916999998e-06,3.2908976099999997e-07
186,0000186.bin,2.6548261740000002e-05,1.2803299509000001e-05,1.9639526907e-05
187,0000187.bin,2.1940353434999996e-05,1.0015137132000001e-05,5.876444574e-06
188,0000188.bin,2.5754352623999998e-05,1.5990842868e-05,1.7264337089999997e-06
189,0000189.bin,2.3189205039e-05,1.1184099926999999e-05,3.7842664859999997e-06
190,0000190.bin,2.7083732675999997e-05,1.4893432554e-05,4.521884367e-06
191,0000191.bin,2.5668127484999996e-05,1.104830727e-05,2.0907366479999997e-06
192,0000192.bin,2.3466117675e-05,1.2659617971e-05,2.184526344e-06
193,0000193.bin,2.4002513534999997e-05,1.2040492464e-05,1.122872751e-06
194,0000194.bin,1.8306960672e-05,9.497990502000001e-06,4.570229664e-06
195,0000195.bin,2.061553494e-05,9.670945284e-06,6.8940411539999996e-06
196,0000196.bin,2.8776058310999994e-05,1.4077115052e-05,4.177662489e-06
197,0000197.bin,2.2096659584999997e-05,1.0523770257e-05,2.93450157e-07
198,0000198.bin,2.3199856680000003e-05,1.2254783541000001e-05,3.84206823e-07
199,0000199.bin,2.4036873861e-05,1.4206084893e-05,8.61993132e-07
200,0000200.bin,2.4249152927999997e-05,1.3702541853e-05,2.698102407e-06
201,0000201.bin,2.4780251496e-05,1.2494987504999999e-05,4.710740034e-06
202,0000202.bin,2.4600579002999996e-05,1.4167700547e-05,2.091457368e-06
203,0000203.bin,1.7706564876e-05,1.1462688237e-05,1.02555453e-07
204,0000204.bin,2.3955381449999998e-05,1.380346968e-05,1.474701228e-06
205,0000205.bin,2.4313762473e-05,1.0249728488999999e-05,1.4225991780000001e-06
206,0000206.bin,2.6685192533999997e-05,1.2489221745e-05,6.598311719999999e-07
207,0000207.bin,2.2531088580000002e-05,8.298246957e-06,1.2245230998000002e-05
208,0000208.bin,2.2131602492999998e-05,1.2069633575999998e-05,6.57933276e-07
209,0000209.bin,2.3249592366e-05,1.3097236151999997e-05,7.444638200999999e-06
210,0000210.bin,2.1824641839000002e-05,1.1736666941999999e-05,1.2382654283999998e-05
211,0000211.bin,2.9637892283999997e-05,1.2575140578e-05,9.99296298e-07
212,0000212.bin,2.4697383710999997e-05,1.252208958e-05,2.387466081e-06
213,0000213.bin,2.6901054180000003e-05,1.2584071499999999e-05,1.676776101e-06
214,0000214.bin,2.6626105506e-05,1.3279052787e-05,7.58425668e-07
215,0000215.bin,2.3581306749e-05,1.4477538075e-05,1.2856563719999997e-06
216,0000216.bin,2.4763689951e-05,1.1287313036999998e-05,2.96444148e-07
217,0000217.bin,2.5654899269999997e-05,1.4773925166e-05,6.9554104619999996e-06
218,0000218.bin,2.1918365469e-05,1.1367123767999999e-05,1.418770353e-06
219,0000219.bin,2.3269141896000003e-05,1.4102097009e-05,2.27576349e-07
220,0000220.bin,2.4525636135e-05,9.993779796e-06,3.51002652e-07
221,0000221.bin,2.5215236046e-05,1.2738158433e-05,2.656051398e-06
222,0000222.bin,2.0426682276e-05,1.1532102582e-05,3.2135403299999997e-07
223,0000223.bin,2.0326532225999998e-05,1.0581226655999998e-05,1.109155047e-06
224,0000224.bin,2.5809917133e-05,1.2888266390999999e-05,5.007994992e-06
225,0000225.bin,2.7558233702999996e-05,1.3627629014999997e-05,3.64191828e-07
226,0000226.bin,1.9708707017999998e-05,8.667946287e-06,6.95593899e-07
227,0000227.bin,2.1597164589e-05,9.025579563e-06,4.114584474e-06
228,0000228.bin,2.735630898e-05,1.2956951007e-05,1.0239779549999998e-06
229,0000229.bin,2.9552003481e-05,1.6136629508999997e-05,6.1174113e-08
230,0000230.bin,2.4681473817000002e-05,1.2653629988999997e-05,9.034135109999999e-07
231,0000231.bin,2.3552483955e-05,1.0633289667e-05,1.7409261870000002e-06
232,0000232.bin,2.7310342059e-05,1.559587029e-05,4.38438e-10
233,0000233.bin,2.4118561467e-05,1.7325267959999998e-05,5.650522877999999e-06
234,0000234.bin,2.0955738803999995e-05,1.1403937545e-05,7.705355657999999e-06
235,0000235.bin,2.3741042325e-05,1.4203174986e-05,1.3367854499999998e-07
236,0000236.bin,2.1976966010999997e-05,1.1408649251999998e-05,1.1528667149999999e-06
237,0000237.bin,2.7878903051999996e-05,1.7003166179999997e-05,9.281131859999999e-07
238,0000238.bin,2.4432050642999992e-05,1.0504638144e-05,2.7645317700000002e-06
239,0000239.bin,2.7671936292e-05,1.36972836e-05,3.2533901400000005e-07
240,0000240.bin,2.4823831032e-05,1.4626513901999999e-05,1.112179068e-06
241,0000241.bin,2.7336203894999995e-05,1.0947190253999999e-05,1.270956687e-06
242,0000242.bin,2.8249320099e-05,1.2145011879e-05,9.58503546e-07
243,0000243.bin,2.2883262401999998e-05,1.2003735744000001e-05,9.45491547e-07
244,0000244.bin,2.1303828546000003e-05,1.2129495377999999e-05,6.36620985e-07
245,0000245.bin,2.8237154946000005e-05,1.2439299873e-05,3.21534213e-07
246,0000246.bin,2.5503448971000002e-05,1.3766208455999998e-05,4.3941998099999993e-07
247,0000247.bin,2.4618434841000007e-05,1.545514971e-05,2.1564693149999998e-06
248,0000248.bin,2.6800060287e-05,1.3014344343e-05,3.45197853e-07
249,0000249.bin,2.5342482165e-05,1.1074154091e-05,6.05278674e-07
250,0000250.bin,2.4263200962e-05,9.977671704e-06,5.85392808e-07
251,0000251.bin,2.6590988424e-05,1.3690178502e-05,2.82227946e-07
252,0000252.bin,2.2228527321e-05,1.2562155605999998e-05,5.63564001e-07
253,0000253.bin,1.9965151206e-05,1.1864411559e-05,1.8883464600000002e-07
254,0000254.bin,2.3814979188e-05,1.3095236154e-05,6.752605859999999e-07
255,0000255.bin,2.6947690769999995e-05,1.4066706654e-05,5.92855263e-07
256,0000256.bin,2.4536038527e-05,1.0662505853999999e-05,6.3285222e-08
257,0000257.bin,2.5500929453999998e-05,1.0584911337e-05,4.1340739439999994e-06
258,0000258.bin,2.8488052592999995e-05,1.2545570037e-05,1.1907195299999998e-06
259,0000259.bin,1.9855751916e-05,1.1484883409999999e-05,3.451864415999999e-06
260,0000260.bin,2.0730886176e-05,1.1827516700999998e-05,3.71759388e-07
261,0000261.bin,2.7883984127999996e-05,1.4239664438999999e-05,5.54789235e-07
262,0000262.bin,2.4356852519999997e-05,1.1324270958e-05,1.084083e-08
263,0000263.bin,2.8894274408999997e-05,1.0216860654e-05,5.397652260000001e-07
264,0000264.bin,2.1478155698999998e-05,1.251196947e-05,1.28369241e-07
265,0000265.bin,2.1868233387e-05,1.0017239232e-05,9.478272803999998e-06
266,0000266.bin,2.4413606217e-05,1.5419939534999997e-05,4.3083440400000004e-07
267,0000267.bin,2.0463580136999997e-05,1.2972758798999998e-05,1.878364488e-06
268,0000268.bin,2.3622727127999998e-05,9.524176662e-06,4.34810376e-07
269,0000269.bin,2.3558033499000002e-05,1.0883838966e-05,5.01032532e-07
270,0000270.bin,2.0048472443999997e-05,1.10465355e-05,6.113651544e-06
271,0000271.bin,2.4336651339e-05,1.2374987625e-05,5.68539972e-07
272,0000272.bin,2.1608269683e-05,1.1105790695999999e-05,9.8516418e-07
273,0000273.bin,2.2080503445000002e-05,1.2123041930999997e-05,8.5150065e-08
274,0000274.bin,2.4917296403999996e-05,1.0909010112e-05,3.5632907309999998e-06
275,0000275.bin,2.8898463594e-05,1.4427408995999998e-05,4.970865899999999e-07
276,0000276.bin,2.2856866032e-05,1.0079227158e-05,1.885469586e-06
277,0000277.bin,2.3896216343999992e-05,1.2583765194e-05,1.56240084e-07
278,0000278.bin,2.3943306386999997e-05,1.1513381879999998e-05,5.283162885e-06
279,0000279.bin,2.2992784814999998e-05,1.3663836186e-05,1.1896873988999998e-05
280,0000280.bin,2.207466261e-05,1.130440311e-05,4.1528487e-07
281,0000281.bin,2.3896018146e-05,1.2779563797e-05,1.979493516e-06
282,0000282.bin,2.7807761982000002e-05,1.2112216116e-05,2.176673499e-06
283,0000283.bin,2.6306517236999998e-05,1.562677116e-05,6.72434763e-07
284,0000284.bin,2.4488711247e-05,1.6641088463999996e-05,2.430685257e-06
285,0000285.bin,1.8968404455e-05,1.0745709974999999e-05,3.11038728e-07
286,0000286.bin,2.4762209472000002e-05,8.524874358e-06,3.0135105e-07
287,0000287.bin,2.4055609577999994e-05,1.1070487428e-05,1.5687732060000001e-06
288,0000288.bin,2.7802518743999998e-05,1.3154731590000001e-05,7.734196469999999e-07
289,0000289.bin,2.1397642266e-05,1.1546063528999999e-05,1.6250434199999998e-07
290,0000290.bin,1.9984061097e-05,1.1770030271999999e-05,1.4521907399999998e-07
291,0000291.bin,2.5329455150999997e-05,1.6133992875e-05,1.2959866920000002e-06
292,0000292.bin,2.0616558962999998e-05,1.2577287723e-05,4.435431e-09
293,0000293.bin,2.5977418467e-05,1.552977426e-05,1.401536136e-06
294,0000294.bin,2.4883767909e-05,1.3028749733999999e-05,7.09792083e-07
295,0000295.bin,2.2985853891e-05,1.0646544909e-05,1.776806031e-06
296,0000296.bin,2.1509203716000002e-05,9.125378262000002e-06,8.26467642e-07
297,0000297.bin,2.6853282456e-05,1.0735547823000001e-05,6.61122462e-07
298,0000298.bin,2.3391952584e-05,1.3369629272999999e-05,3.1014984e-08
299,0000299.bin,2.2363593251999998e-05,1.1353255914e-05,2.9560450919999994e-06
300,0000300.bin,2.6914726839e-05,1.1065703649e-05,6.00735135e-07
301,0000301.bin,2.4337227914999998e-05,1.4039112087000001e-05,8.977970001e-06
302,0000302.bin,2.1934176264e-05,1.3484923451999998e-05,4.95711216e-06
303,0000303.bin,2.3668402758e-05,9.680356686e-06,9.393984599999999e-08
304,0000304.bin,2.5628878275e-05,1.0546890353999998e-05,1.150611462e-06
305,0000305.bin,2.5174857707999998e-05,1.3776670908e-05,2.78633355e-07
306,0000306.bin,2.4215678487e-05,1.065647583e-05,6.12329718e-07
307,0000307.bin,2.3732642934e-05,1.0173623459999999e-05,3.210137931e-06
308,0000308.bin,1.8460978535999997e-05,1.1767687932e-05,5.566862300999999e-06
309,0000309.bin,2.4692894226e-05,1.3141881753e-05,4.77999522e-07
310,0000310.bin,2.6716261572e-05,1.5811948152e-05,8.371943580000001e-07
311,0000311.bin,2.2176392238e-05,1.2931182264e-05,6.278492219999999e-07
312,0000312.bin,2.3406430047e-05,1.4994264284999998e-05,1.9614995399999998e-07
313,0000313.bin,2.0956270335e-05,1.4134166046e-05,2.871483615e-06
314,0000314.bin,1.8405594207e-05,1.2212966765999999e-05,7.144509372e-06
315,0000315.bin,2.7449143722e-05,1.3205533341e-05,6.06404799e-07
316,0000316.bin,2.5250151926999996e-05,1.1478832365e-05,1.5402687299999997e-07
317,0000317.bin,2.1905176293e-05,1.2174231069e-05,6.487561080000001e-07
318,0000318.bin,2.4164726585999995e-05,1.252884633e-05,1.39864725e-06
319,0000319.bin,2.4716987295e-05,1.3324893581999998e-05,6.880713840000001e-07
320,0000320.bin,2.6096021951999997e-05,1.1545727192999998e-05,1.9605385799999998e-07
321,0000321.bin,2.4122786688e-05,1.4505111620999999e-05,2.7870242399999996e-06
322,0000322.bin,2.1676801146e-05,1.0223701487999999e-05,4.153518368999999e-06
323,0000323.bin,2.5166212070999998e-05,1.4957417475e-05,1.4626982369999998e-06
324,0000324.bin,1.9835463648e-05,1.0718860151999999e-05,4.660637982e-06
325,0000325.bin,2.1754131399e-05,1.3228163949000002e-05,5.903858960999999e-06
326,0000326.bin,2.5485803343e-05,1.3795388607e-05,2.363111751e-06
327,0000327.bin,2.7605221644000002e-05,9.930677757e-06,1.0731634914e-05
328,0000328.bin,2.9889366507000003e-05,1.3523439929999999e-05,2.68534266e-07
329,0000329.bin,2.394279888e-05,1.3549130595e-05,3.20248929e-07
330,0000330.bin,2.818339524e-05,1.2288555279e-05,1.74318144e-07
331,0000331.bin,2.7556921392e-05,1.3692974295000001e-05,5.5265560350000005e-06
332,0000332.bin,2.1786590826e-05,1.5708879186e-05,4.03696293e-07
333,0000333.bin,2.3972120172e-05,1.1461195746e-05,1.3106110017e-05
334,0000334.bin,2.4438188774999998e-05,1.3577950386000001e-05,1.3049929893e-05
335,0000335.bin,2.5147974852e-05,1.0506055559999998e-05,4.90519029e-07
336,0000336.bin,2.0723273571000002e-05,1.1550036498e-05,3.12909597e-07
337,0000337.bin,2.1944047125e-05,1.0903436544e-05,1.161136977e-06
338,0000338.bin,2.2061758719e-05,1.4220673467000001e-05,4.816812e-07
339,0000339.bin,2.4958110177e-05,1.2867152298e-05,4.81245765e-07
340,0000340.bin,1.9797430652999996e-05,1.1491604124e-05,5.4060006e-08
341,0000341.bin,2.8701211539e-05,9.712350648e-06,1.30225095e-06
